Day,Fajr,Shuruk,Dhuhr,Asr,Magrib,Esha
1,5:30,5:48,12:35,16:30,17:30,19:15
2,5:30,5:49,12:35,16:30,17:30,19:15
3,5:30,5:49,12:35,16:30,17:29,19:15
4,5:30,5:49,12:35,16:30,17:29,19:15
5,5:30,5:49,12:35,16:30,17:29,19:15
6,5:30,5:50,12:35,16:30,17:28,19:15
7,5:30,5:50,12:35,16:30,17:28,19:15
8,5:30,5:50,12:35,16:30,17:27,19:15
9,5:30,5:50,12:35,16:30,17:27,19:15
10,5:30,5:51,12:35,16:30,17:27,19:15
11,5:30,5:51,12:35,16:30,17:26,19:15
12,5:30,5:51,12:35,16:30,17:26,19:15
13,5:30,5:52,12:35,16:30,17:26,19:15
14,5:30,5:52,12:35,16:30,17:25,19:15
15,5:30,5:52,12:35,16:30,17:25,19:15
16,5:30,5:52,12:35,16:30,17:25,19:15
17,5:30,5:53,12:35,16:30,17:24,19:15
18,5:30,5:53,12:35,16:30,17:24,19:15
19,5:30,5:53,12:35,16:30,17:24,19:15
20,5:30,5:54,12:35,16:30,17:24,19:15
21,5:30,5:54,12:35,16:30,17:24,19:15
22,5:30,5:54,12:35,16:30,17:23,19:15
23,5:30,5:55,12:35,16:30,17:23,19:15
24,5:30,5:55,12:35,16:30,17:23,19:15
25,5:30,5:55,12:35,16:30,17:23,19:15
26,5:30,5:56,12:35,16:30,17:23,19:15
27,5:30,5:56,12:35,16:30,17:23,19:15
28,5:30,5:56,12:35,16:30,17:23,19:15
29,5:30,5:57,12:35,16:30,17:23,19:15
30,5:30,5:57,12:35,16:30,17:22,19:15
31,5:30,5:57,12:35,16:30,17:22,19:15
