Day,Fajr,Shuruk,Dhuhr,Asr,Magrib,Esha
1,4:30,5:23,12:15,16:30,17:39,19:10
2,4:30,5:22,12:00,16:30,17:40,19:10
3,4:30,5:21,12:15,16:30,17:40,19:10
4,4:25,5:21,12:15,16:30,17:40,19:10
5,4:25,5:20,12:15,16:30,17:40,19:10
6,4:25,5:19,12:15,16:30,17:40,19:10
7,4:25,5:18,12:15,16:30,17:40,19:10
8,4:25,5:18,12:15,16:30,17:40,19:10
9,4:25,5:17,12:00,16:30,17:41,19:10
10,4:25,5:16,12:15,16:30,17:41,19:10
11,4:20,5:16,12:15,16:30,17:41,19:10
12,4:20,5:15,12:15,16:30,17:41,19:10
13,4:20,5:14,12:15,16:30,17:41,19:10
14,4:20,5:14,12:15,16:30,17:41,19:10
15,4:20,5:13,12:15,16:30,17:42,19:10
16,4:20,5:12,12:00,16:30,17:42,19:10
17,4:20,5:12,12:15,16:30,17:42,19:10
18,4:15,5:11,12:15,16:25,17:42,19:10
19,4:15,5:10,12:15,16:25,17:42,19:10
20,4:15,5:10,12:15,16:25,17:43,19:10
21,4:15,5:09,12:15,16:25,17:43,19:10
22,4:15,5:08,12:15,16:25,17:43,19:10
23,4:15,5:08,12:00,16:25,17:44,19:10
24,4:15,5:07,12:15,16:25,17:44,19:10
25,4:15,5:07,12:15,16:25,17:44,19:10
26,4:15,5:06,12:15,16:25,17:44,19:10
27,4:10,5:06,12:15,16:25,17:45,19:10
28,4:10,5:05,12:15,16:25,17:45,19:10
29,4:10,5:05,12:15,16:25,17:45,19:10
30,4:10,5:04,12:00,16:25,17:46,19:10
31,4:10,5:04,12:15,16:25,17:46,19:10
