Day,Fajr,Shuruk,Dhuhr,Asr,Magrib,Esha
JANUARY,,,,,,
1,4:20,5:09,12:15,16:40,18:19,19:40
2,4:20,5:10,12:00,16:40,18:19,19:40
3,4:20,5:10,12:15,16:40,18:20,19:40
4,4:20,5:11,12:15,16:40,18:20,19:40
5,4:20,5:12,12:15,16:40,18:20,19:40
6,4:25,5:12,12:15,16:40,18:21,19:40
7,4:25,5:13,12:15,16:40,18:21,19:40
8,4:25,5:13,12:15,16:40,18:21,19:40
9,4:25,5:14,12:00,16:40,18:21,19:40
10,4:25,5:15,12:15,16:40,18:22,19:40
11,4:25,5:15,12:15,16:40,18:22,19:40
12,4:25,5:16,12:15,16:40,18:22,19:40
13,4:25,5:16,12:15,16:40,18:22,19:40
14,4:25,5:17,12:15,16:40,18:22,19:40
15,4:25,5:18,12:15,16:40,18:22,19:40
16,4:30,5:18,12:00,16:40,18:22,19:40
17,4:30,5:19,12:15,16:40,18:22,19:40
18,4:30,5:19,12:15,16:40,18:23,19:40
19,4:30,5:20,12:15,16:40,18:23,19:40
20,4:30,5:21,12:15,16:40,18:23,19:40
21,4:30,5:21,12:15,16:40,18:23,19:40
22,4:30,5:22,12:15,16:40,18:23,19:40
23,4:30,5:22,12:00,16:40,18:23,19:40
24,4:35,5:23,12:15,16:40,18:23,19:40
25,4:35,5:23,12:15,16:40,18:22,19:40
26,4:35,5:24,12:15,16:40,18:22,19:40
27,4:40,5:24,12:15,16:40,18:22,19:40
28,4:40,5:25,12:15,16:40,18:22,19:40
29,4:40,5:25,12:15,16:40,18:22,19:40
30,4:40,5:26,12:00,16:40,18:22,19:40
31,4:40,5:26,12:15,16:40,18:22,19:40

FEBRUARY,,,,,,
1,4:45,5:27,12:15,16:40,18:22,19:40
2,4:45,5:27,12:15,16:40,18:22,19:40
3,4:45,5:28,12:15,16:40,18:21,19:40
4,4:45,5:28,12:15,16:40,18:21,19:40
5,4:45,5:29,12:15,16:40,18:21,19:40
6,4:50,5:29,12:00,16:40,18:21,19:40
7,4:50,5:30,12:15,16:40,18:20,19:40
8,4:50,5:30,12:15,16:40,18:20,19:40
9,4:50,5:31,12:15,16:40,18:20,19:40
10,4:50,5:31,12:15,16:40,18:19,19:40
11,4:55,5:31,12:15,16:40,18:19,19:40
12,4:55,5:32,12:15,16:40,18:18,19:40
13,4:55,5:32,12:00,16:40,18:18,19:40
14,4:55,5:33,12:15,16:40,18:18,19:40
15,4:55,5:33,12:15,16:40,18:17,19:40
16,5:00,5:33,12:15,16:40,18:17,19:40
17,5:00,5:34,12:15,16:40,18:16,19:40
18,5:00,5:34,12:15,16:40,18:16,19:40
19,5:00,5:34,12:15,16:40,18:15,19:30
20,5:00,5:35,12:00,16:40,18:15,19:30
21,5:05,5:35,12:15,16:40,18:14,19:30
22,5:05,5:35,12:15,16:40,18:13,19:30
23,5:05,5:36,12:15,16:40,18:13,19:30
24,5:05,5:36,12:15,16:40,18:12,19:30
25,5:05,5:36,12:15,16:40,18:12,19:30
26,5:10,5:36,12:15,16:40,18:11,19:30
27,5:10,5:37,12:00,16:40,18:10,19:30
28,5:10,5:37,12:15,16:40,18:09,19:30

MARCH,,,,,,
1,5:10,5:37,12:15,16:40,18:09,19:30
2,5:15,5:37,12:15,16:40,18:08,19:30
3,5:15,5:38,12:15,16:40,18:07,19:30
4,5:15,5:38,12:15,16:40,18:07,19:30
5,5:15,5:38,12:15,16:40,18:06,19:30
6,5:15,5:38,12:00,16:40,18:05,19:30
7,5:20,5:39,12:15,16:40,18:04,19:30
8,5:20,5:39,12:15,16:40,18:03,19:30
9,5:20,5:39,12:15,16:40,18:03,19:30
10,5:20,5:39,12:15,16:40,18:02,19:15
11,5:20,5:40,12:15,16:40,18:01,19:15
12,5:25,5:40,12:15,16:40,18:00,19:15
13,5:25,5:40,12:00,16:40,17:59,19:15
14,5:25,5:40,12:15,16:40,17:58,19:15
15,5:25,5:40,12:15,16:40,17:58,19:15
16,5:25,5:40,12:15,16:40,17:57,19:15
17,5:30,5:41,12:15,16:40,17:56,19:15
18,5:30,5:41,12:15,16:40,17:55,19:15
19,5:30,5:41,12:15,16:40,17:54,19:15
20,5:30,5:41,12:00,16:40,17:53,19:15
21,5:30,5:41,12:15,16:40,17:52,19:15
22,5:35,5:41,12:15,16:40,17:51,19:15
23,5:35,5:41,12:15,16:40,17:50,19:15
24,5:35,5:42,12:15,16:40,17:50,19:00
25,5:35,5:42,12:15,16:40,17:49,19:00
26,5:35,5:42,12:15,16:40,17:48,19:00
27,5:40,5:42,12:00,16:40,17:47,19:00
28,5:40,5:42,12:15,16:40,17:46,19:00
29,5:40,5:42,12:15,16:40,17:45,19:00
30,5:40,5:42,12:15,16:40,17:44,19:00
31,5:40,5:42,12:15,16:40,17:44,19:00

APRIL,,,,,,
1,5:45,5:42,12:15,16:40,17:43,19:00
2,5:45,5:42,12:15,16:40,17:42,19:00
